captured_at,cluster,notes,id,doi,title,resource_type,publication_date,version,views,unique_views,downloads,unique_downloads,record_url,status
2026-06-11T06:06:24-05:00,Formal Systems,CAM extension of Domain of Non-Existence,20076951,10.5281/zenodo.20076951,Constraint–Accessibility Mapping: A Minimal Formal Extension of the Domain of Non-Existence,publication,2026-05-08,1.1,21,20,7,7,https://zenodo.org/records/20076951,ok
2026-06-11T06:06:24-05:00,SOE Core,Operation Layer v0.1.3,20499518,10.5281/zenodo.20499518,System of Eternity Operation Layer: Final Assembled Paper Draft v0.1.3,publication,2026-06-01,0.1.3,29,24,13,11,https://zenodo.org/records/20499518,ok
2026-06-11T06:06:24-05:00,SOE Core,Governance Architecture v0.5.2,20499579,10.5281/zenodo.20499579,System of Eternity Governance Architecture v0.5.2,publication,2026-06-01,,82,62,16,14,https://zenodo.org/records/20499579,ok
2026-06-11T06:06:24-05:00,SOE Core,Meta-Governance Framework v4.4,20499592,10.5281/zenodo.20499592,System of Eternity (SOE): A Non-Terminal Civilizational Governance Framework (V4.4),publication,2026-06-01,4.5,91,74,25,21,https://zenodo.org/records/20499592,ok
2026-06-11T06:06:24-05:00,SOE Prior,Earlier SOE preprint,19754682,10.5281/zenodo.19754682,Bounded Propagation Without Ignition: Structural Limits of Local Coupling in Governance Network Simulations,publication,2026-04-24,,33,26,14,11,https://zenodo.org/records/19754682,ok
2026-06-11T06:06:24-05:00,SOE Prior,Earlier SOE working paper,20066833,10.5281/zenodo.20066833,Structural Failure Modes in Civilizational Systems: Five Canonical Pathways and Integrated Detection Framework,publication,2026-05-07,,49,41,18,14,https://zenodo.org/records/20066833,ok
2026-06-11T06:06:24-05:00,SOE Prior,Earlier SOE working paper,20078764,10.5281/zenodo.20078764,System of Eternity (SOE): Architecture Design v0.3 — Institutional Mechanisms Integration Snapshot,publication,2026-05-08,0.3,82,62,16,14,https://zenodo.org/records/20078764,ok
2026-06-11T06:06:24-05:00,SOE Related,Acceleration-Capacity Gap Model,20066770,10.5281/zenodo.20066770,Acceleration-Capacity Gap Model (ACGM): A Structural Framework for Civilizational Stability in the AI Era,publication,2026-05-07,1.1,29,18,9,7,https://zenodo.org/records/20066770,ok
2026-06-11T06:06:24-05:00,SOE Related,Structural Failure Modes in Civilizational Systems,20218919,10.5281/zenodo.20218919,Structural Failure Modes in Civilizational Systems: Five Canonical Pathways and Integrated Detection Framework,publication,2026-05-15,1.3,49,41,18,14,https://zenodo.org/records/20218919,ok
2026-06-11T06:06:24-05:00,SOE Simulation Program,Simulation Program foundational record,20054302,10.5281/zenodo.20054302,System of Eternity (SOE): Simulation Program — Foundational Research Artifacts (v1.3 through v12),publication,2026-05-06,1.0 (Simulation Program v1–v12),32,24,29,27,https://zenodo.org/records/20054302,ok
2026-06-11T06:06:24-05:00,SOE Simulations,Regime-dependent trust-mediated governance networks,19765767,10.5281/zenodo.19765767,"Regime-Dependent Stability in Trust-Mediated Governance Networks: Disturbance Primacy, Control Masking, and Governance Insensitivity",publication,2026-04-25,,33,26,14,12,https://zenodo.org/records/19765767,ok
2026-06-11T06:06:24-05:00,SOE Simulations,Simulation-Constrained Dynamic Architecture for Governance Stability,20117489,10.5281/zenodo.20117489,A Simulation-Constrained Dynamic Architecture for Governance Stability,publication,2026-05-10,1.1,39,32,13,11,https://zenodo.org/records/20117489,ok
2026-06-11T06:06:24-05:00,SOE Simulations,Grand Simulation v0.7 Companion Archive,20144235,10.5281/zenodo.20144235,System of Eternity (SOE) Governance Architecture: Grand Simulation v0.7 Companion Archive,dataset,2026-05-12,v0.7,31,26,8,7,https://zenodo.org/records/20144235,ok
2026-06-11T06:06:24-05:00,SOE Simulations,Simulation-Evidence Manuscript after Grand Simulation v0.7,20147828,10.5281/zenodo.20147828,System of Eternity Governance Architecture: Simulation-Evidence Manuscript Draft after Grand Simulation v0.7,publication,2026-05-13,0.7,24,19,25,18,https://zenodo.org/records/20147828,ok
2026-06-11T06:06:24-05:00,SOE Simulations,Second and Third Grand Simulation Evidence Update,20471382,10.5281/zenodo.20471382,System of Eternity: Second and Third Grand Simulation Evidence Update after Operation Layer Integration,dataset,2026-05-31,,26,19,4,3,https://zenodo.org/records/20471382,ok
2026-06-11T06:06:24-05:00,SOE Source Archive,Future-Concern Harvest Source Archive,20499843,10.5281/zenodo.20499843,"System of Eternity Future-Concern Harvest Source Archive: Fiction, Media, Nonfiction, and Expert Scenario Patterns",dataset,2026-06-02,0.1,18,14,2,2,https://zenodo.org/records/20499843,ok
2026-06-11T06:06:24-05:00,SOE Synthesis,Architecture Evidence Boundaries and Future-Concern Registry,20471399,10.5281/zenodo.20471399,"System of Eternity: Architecture, Evidence Boundaries, and Future-Concern Registry",publication,2026-05-31,0.7,33,25,11,7,https://zenodo.org/records/20471399,ok
2026-06-11T06:06:24-05:00,SOE/CTF Bridge,Earlier SOE or CTF-adjacent record,19984642,10.5281/zenodo.19984642,The Trinity Framework of Cognitive Systems: A Structured Critical Thinking Architecture for Complex Adaptive Systems,publication,2026-05-02,,74,59,12,10,https://zenodo.org/records/19984642,ok
